compliance,compliance,compliance,compliance,compliance
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.375452071,1714.286255,0.375452071,0,12.1
0.378706008,1744.723755,0.378706008,0,12.2
0.382055312,1775.536255,0.382055312,0,12.3
0.385341674,1806.598755,0.385341674,0,12.4
0.388755828,1838.48938,0.388755828,0,12.5
0.391956359,1869.23938,0.391956359,0,12.6
0.395349532,1901.723755,0.395349532,0,12.7
0.39862445,1935.23938,0.39862445,0,12.8
0.401855499,1971.73938,0.401855499,0,12.9
0.405216247,2009.23938,0.405216247,0,13
0.408588439,2047.42688,0.408588439,0,13.1
0.411821395,2085.864258,0.411821395,0,13.2
0.41510585,2126.051758,0.41510585,0,13.3
0.418542892,2169.176758,0.418542892,0,13.4
0.421859771,2210.208008,0.421859771,0,13.5
0.425231963,2252.708008,0.425231963,0,13.6
0.428571731,2294.176758,0.428571731,0,13.7
0.431985885,2336.176758,0.431985885,0,13.8
0.435325652,2379.145508,0.435325652,0,13.9
0.438739389,2420.842773,0.438739389,0,14
0.442025751,2461.842773,0.442025751,0,14.1
0.445344537,2504.624023,0.445344537,0,14.2
0.448714823,2547.655273,0.448714823,0,14.3
0.45205459,2590.280273,0.45205459,0,14.4
0.455405802,2632.999023,0.455405802,0,14.5
0.45863685,2674.530273,0.45863685,0,14.6
0.462094873,2718.030273,0.462094873,0,14.7
0.465381235,2761.061523,0.465381235,0,14.8
0.468709558,2802.780273,0.468709558,0,14.9
0.472037882,2843.936523,0.472037882,0,15
0.475377649,2887.030273,0.475377649,0,15.1
0.478717417,2928.499023,0.478717417,0,15.2
0.482034296,2970.717773,0.482034296,0,15.3
0.485320657,3011.936523,0.485320657,0,15.4
0.488551706,3052.764648,0.488551706,0,15.5
0.491935343,3095.920898,0.491935343,0,15.6
0.49521026,3137.420898,0.49521026,0,15.7
0.498527139,3179.045898,0.498527139,0,15.8
0.501813531,3221.014648,0.501813531,0,15.9
0.505174279,3265.045898,0.505174279,0,16
0.508567452,3309.327148,0.508567452,0,16.1
0.511981606,3353.827148,0.511981606,0,16.2
0.515224099,3397.233398,0.515224099,0,16.3
0.518607736,3441.264648,0.518607736,0,16.4
0.522010446,3486.233398,0.522010446,0,16.5
0.525317788,3529.514648,0.525317788,0,16.6
0.528699517,3573.733398,0.528699517,0,16.7
0.531943917,3616.795898,0.531943917,0,16.8
0.535346627,3661.170898,0.535346627,0,16.9
0.538697839,3706.108398,0.538697839,0,17
0.54212153,3750.170898,0.54212153,0,17.1
