BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.644785523,2751.356689,0.644785523,0,20.2
0.648117602,2761.916504,0.648117602,0,20.3
0.651453257,2772.172852,0.651453257,0,20.4
0.654799163,2782.3125,0.654799163,0,20.5
0.658129334,2792.474121,0.658129334,0,20.6
0.661462486,2802.316162,0.661462486,0,20.7
0.664785266,2812.302246,0.664785266,0,20.8
0.668117106,2822.513672,0.668117106,0,20.9
0.67144841,2832.692871,0.67144841,0,21
0.674769521,2842.585693,0.674769521,0,21.1
0.678106844,2852.164551,0.678106844,0,21.2
0.68142575,2861.708984,0.68142575,0,21.3
0.684757113,2871.013184,0.684757113,0,21.4
0.688087344,2880.40332,0.688087344,0,21.5
0.691426575,2890.067871,0.691426575,0,21.6
0.694758356,2899.909424,0.694758356,0,21.7
0.698091686,2909.585693,0.698091686,0,21.8
0.7014274,2919.338135,0.7014274,0,21.9
0.704773366,2929.126465,0.704773366,0,22
0.708109617,2938.713623,0.708109617,0,22.1
0.711446166,2948.465576,0.711446166,0,22.2
0.714788556,2958.375488,0.714788556,0,22.3
0.718122482,2967.955322,0.718122482,0,22.4
0.721454859,2977.325928,0.721454859,0,22.5
0.72478056,2986.688477,0.72478056,0,22.6
0.728115916,2995.949951,0.728115916,0,22.7
0.731444538,3005.107666,0.731444538,0,22.8
0.734776139,3014.195557,0.734776139,0,22.9
0.738100171,3023.388672,0.738100171,0,23
0.741432428,3032.533203,0.741432428,0,23.1
0.744763255,3041.356201,0.744763255,0,23.2
0.748091877,3050.291748,0.748091877,0,23.3
0.751420915,3059.156982,0.751420915,0,23.4
0.754766047,3068.151855,0.754766047,0,23.5
0.758077621,3077.365723,0.758077621,0,23.6
0.761417687,3086.690674,0.761417687,0,23.7
0.764745235,3095.593506,0.764745235,0,23.8
0.768078983,3104.206055,0.768078983,0,23.9
0.771422446,3112.707764,0.771422446,0,24
0.774776101,3121.309082,0.774776101,0,24.1
0.77812016,3129.835205,0.77812016,0,24.2
0.781459212,3138.556396,0.781459212,0,24.3
0.784805834,3147.53418,0.784805834,0,24.4
0.788135588,3156.048828,0.788135588,0,24.5
0.79146713,3164.200439,0.79146713,0,24.6
0.794796646,3172.384033,0.794796646,0,24.7
0.798114896,3180.662842,0.798114896,0,24.8
0.801442742,3188.981201,0.801442742,0,24.9
0.804786801,3197.720459,0.804786801,0,25
0.808130562,3206.455078,0.808130562,0,25.1
0.811442733,3214.785645,0.811442733,0,25.2
0.814780712,3222.835693,0.814780712,0,25.3
0.81811285,3230.711914,0.81811285,0,25.4
0.821425021,3238.625244,0.821425021,0,25.5
0.824747324,3246.637695,0.824747324,0,25.6
0.828081369,3255.046631,0.828081369,0,25.7
0.831418633,3263.41626,0.831418633,0,25.8
0.834766507,3271.388916,0.834766507,0,25.9
