C2,C2,C2,C2,C2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.720673323,3022.443848,0.720673323,-10.62794781,22.5
0.72400558,3030.600586,0.72400558,-10.62794781,22.6
0.727339447,3038.423828,0.727339447,-10.62794781,22.7
0.730665922,3046.154053,0.730665922,-10.62794781,22.8
0.733994186,3053.771973,0.733994186,-10.62794781,22.9
0.737328053,3061.546143,0.737328053,-10.62794781,23
0.74067843,3069.567627,0.74067843,-10.62794781,23.1
0.744004846,3077.584961,0.744004846,-10.62794781,23.2
0.747333467,3085.217041,0.747333467,-10.62794781,23.3
0.750640333,3092.439941,0.750640333,-10.62794781,23.4
0.753957987,3099.887939,0.753957987,-10.62794781,23.5
0.757307708,3107.361816,0.757307708,-10.62794781,23.6
0.76064378,3114.889648,0.76064378,-10.62794781,23.7
0.764008999,3122.812988,0.764008999,-10.62794781,23.8
0.767329216,3130.640869,0.767329216,-10.62794781,23.9
0.770655274,3138.256836,0.770655274,-10.62794781,24
0.773992777,3145.728516,0.773992777,-10.62794781,24.1
0.777329624,3152.977539,0.777329624,-10.62794781,24.2
0.780641615,3159.946777,0.780641615,-10.62794781,24.3
0.783984959,3167.038086,0.783984959,-10.62794781,24.4
0.787327766,3174.442139,0.787327766,-10.62794781,24.5
0.790662646,3181.842529,0.790662646,-10.62794781,24.6
0.7940135,3188.824463,0.7940135,-10.62794781,24.7
0.797344923,3195.827393,0.797344923,-10.62794781,24.8
0.800689161,3202.792236,0.800689161,-10.62794781,24.9
0.804023385,3209.5,0.804023385,-10.62794781,25
0.807343304,3216.247314,0.807343304,-10.62794781,25.1
0.81065464,3223.12207,0.81065464,-10.62794781,25.2
0.813983738,3229.871094,0.813983738,-10.62794781,25.3
0.817326248,3236.45752,0.817326248,-10.62794781,25.4
0.820658445,3243.010742,0.820658445,-10.62794781,25.5
0.823990345,3249.691162,0.823990345,-10.62794781,25.6
0.827340364,3256.276611,0.827340364,-10.62794781,25.7
0.830671966,3262.994629,0.830671966,-10.62794781,25.8
0.833994627,3269.850342,0.833994627,-10.62794781,25.9
0.837321818,3276.480957,0.837321818,-10.62794781,26
0.840648711,3282.82251,0.840648711,-10.62794781,26.1
0.843978286,3289.313721,0.843978286,-10.62794781,26.2
0.847306013,3295.820068,0.847306013,-10.62794781,26.3
0.85064429,3302.284668,0.85064429,-10.62794781,26.4
0.853974462,3309.120605,0.853974462,-10.62794781,26.5
0.857310116,3316.025391,0.857310116,-10.62794781,26.6
0.860665381,3322.747314,0.860665381,-10.62794781,26.7
0.864004374,3329.074463,0.864004374,-10.62794781,26.8
0.867331624,3334.994873,0.867331624,-10.62794781,26.9
0.870655954,3340.893311,0.870655954,-10.62794781,27
0.873978198,3346.786377,0.873978198,-10.62794781,27.1
0.877311528,3352.813477,0.877311528,-10.62794781,27.2
0.880665958,3359.211914,0.880665958,-10.62794781,27.3
0.883993208,3365.318604,0.883993208,-10.62794781,27.4
0.887337446,3371.164551,0.887337446,-10.62794781,27.5
0.890676737,3377.029541,0.890676737,-10.62794781,27.6
0.894008577,3382.728271,0.894008577,-10.62794781,27.7
0.897336602,3388.526123,0.897336602,-10.62794781,27.8
0.900651336,3394.765625,0.900651336,-10.62794781,27.9
0.90398562,3400.878906,0.90398562,-10.62794781,28
0.907329381,3406.5979,0.907329381,-10.62794781,28.1
0.910651624,3411.999512,0.910651624,-10.62794781,28.2
0.913986683,3417.211182,0.913986683,-10.62794781,28.3
0.917312026,3422.528564,0.917312026,-10.62794781,28.4
0.920645356,3427.953369,0.920645356,-10.62794781,28.5
0.923983693,3433.743408,0.923983693,-10.62794781,28.6
0.927316427,3439.291748,0.927316427,-10.62794781,28.7
0.930643141,3444.4021,0.930643141,-10.62794781,28.8
0.933969498,3449.375488,0.933969498,-10.62794781,28.9
0.93732065,3454.570801,0.93732065,-10.62794781,29
0.940659761,3459.671387,0.940659761,-10.62794781,29.1
0.944016993,3465.185059,0.944016993,-10.62794781,29.2
0.947357118,3470.911621,0.947357118,-10.62794781,29.3
0.950693429,3476.197266,0.950693429,-10.62794781,29.4
0.954006195,3481.018311,0.954006195,-10.62794781,29.5
0.957343102,3485.684814,0.957343102,-10.62794781,29.6
0.960677803,3490.244141,0.960677803,-10.62794781,29.7
0.964010596,3495.019775,0.964010596,-10.62794781,29.8
0.967333555,3499.790527,0.967333555,-10.62794781,29.9
0.970669448,3504.915283,0.970669448,-10.62794781,30
0.9739995,3509.775391,0.9739995,-10.62794781,30.1
0.977314174,3514.198242,0.977314174,-10.62794781,30.2
0.980645001,3518.773438,0.980645001,-10.62794781,30.3
0.98399061,3523.247314,0.98399061,-10.62794781,30.4
0.987312794,3527.483398,0.987312794,-10.62794781,30.5
0.990622222,3531.932617,0.990622222,-10.62794781,30.6
0.993953466,3536.495361,0.993953466,-10.62794781,30.7
0.997290015,3540.905762,0.997290015,-10.62794781,30.8
1.000622869,3545.100586,1.000622869,-10.62794781,30.9
1.003973365,3549.230713,1.003973365,-10.62794781,31
1.007330179,3553.323975,1.007330179,-10.62794781,31.1
1.01068449,3557.279053,1.01068449,-10.62794781,31.2
1.014002919,3561.197754,1.014002919,-10.62794781,31.3
1.017344713,3565.348633,1.017344713,-10.62794781,31.4
1.020672202,3569.254639,1.020672202,-10.62794781,31.5
1.023989201,3572.655762,1.023989201,-10.62794781,31.6
1.027328849,3575.997803,1.027328849,-10.62794781,31.7
1.03066504,3579.024658,1.03066504,-10.62794781,31.8
1.033996344,3581.997314,1.033996344,-10.62794781,31.9
1.037312984,3585.170898,1.037312984,-10.62794781,32
1.040659666,3588.225342,1.040659666,-10.62794781,32.1
1.043977976,3590.88208,1.043977976,-10.62794781,32.2
1.047310829,3593.20166,1.047310829,-10.62794781,32.3
1.050631881,3595.186523,1.050631881,-10.62794781,32.4
1.053963542,3597.015381,1.053963542,-10.62794781,32.5
1.057299256,3599.149902,1.057299256,-10.62794781,32.6
1.060637832,3601.902344,1.060637832,-10.62794781,32.7
1.063972116,3604.54541,1.063972116,-10.62794781,32.8
1.067323446,3606.705322,1.067323446,-10.62794781,32.9
1.070673466,3608.564209,1.070673466,-10.62794781,33
1.07399857,3610.016113,1.07399857,-10.62794781,33.1
1.077313423,3611.07959,1.077313423,-10.62794781,33.2
1.080663562,3612.319092,1.080663562,-10.62794781,33.3
1.084004045,3613.666504,1.084004045,-10.62794781,33.4
1.087359428,3614.628662,1.087359428,-10.62794781,33.5
1.090684056,3615.007568,1.090684056,-10.62794781,33.6
1.094023705,3614.888184,1.094023705,-10.62794781,33.7
1.097348332,3614.435547,1.097348332,-10.62794781,33.8
1.100681186,3613.739014,1.100681186,-10.62794781,33.9
1.104009151,3612.912842,1.104009151,-10.62794781,34
1.107332349,3612.158203,1.107332349,-10.62794781,34.1
1.110669494,3610.929443,1.110669494,-10.62794781,34.2
1.11398685,3609.009766,1.11398685,-10.62794781,34.3
1.117317796,3606.873047,1.117317796,-10.62794781,34.4
1.120639086,3604.565186,1.120639086,-10.62794781,34.5
1.123987436,3601.947754,1.123987436,-10.62794781,34.6
1.127321482,3599.335449,1.127321482,-10.62794781,34.7
1.130651951,3596.540527,1.130651951,-10.62794781,34.8
1.133990169,3593.084717,1.133990169,-10.62794781,34.9
1.137311101,3588.945313,1.137311101,-10.62794781,35
1.140646219,3584.33252,1.140646219,-10.62794781,35.1
1.143986106,3579.356689,1.143986106,-10.62794781,35.2
1.147304177,3574.010498,1.147304177,-10.62794781,35.3
1.150650382,3568.498535,1.150650382,-10.62794781,35.4
1.153989315,3562.697021,1.153989315,-10.62794781,35.5
1.15734005,3556.223633,1.15734005,-10.62794781,35.6
1.160667419,3548.970947,1.160667419,-10.62794781,35.7
1.164010406,3541.5354,1.164010406,-10.62794781,35.8
1.1673311,3533.657471,1.1673311,-10.62794781,35.9
1.17067194,3525.490479,1.17067194,-10.62794781,36
1.17399323,3517.203857,1.17399323,-10.62794781,36.1
1.177326322,3508.595703,1.177326322,-10.62794781,36.2
1.180645227,3499.181641,1.180645227,-10.62794781,36.3
1.183985233,3489.047119,1.183985233,-10.62794781,36.4
1.187337637,3478.455566,1.187337637,-10.62794781,36.5
1.190667272,3467.598633,1.190667272,-10.62794781,36.6
1.194006324,3456.567139,1.194006324,-10.62794781,36.7
1.197324395,3445.297363,1.197324395,-10.62794781,36.8
1.200654507,3433.84375,1.200654507,-10.62794781,36.9
1.203986645,3421.697998,1.203986645,-10.62794781,37
1.207312465,3409.130371,1.207312465,-10.62794781,37.1
1.21065402,3396.631348,1.21065402,-10.62794781,37.2
1.213991761,3383.929199,1.213991761,-10.62794781,37.3
1.217330337,3371.12915,1.217330337,-10.62794781,37.4
1.220645308,3358.344482,1.220645308,-10.62794781,37.5
1.223985434,3345.414063,1.223985434,-10.62794781,37.6
1.227340698,3332.058105,1.227340698,-10.62794781,37.7
1.230680227,3318.483643,1.230680227,-10.62794781,37.8
1.234018445,3304.731934,1.234018445,-10.62794781,37.9
1.237350106,3291.028809,1.237350106,-10.62794781,38
1.240680218,3277.419434,1.240680218,-10.62794781,38.1
1.244017839,3264.1521,1.244017839,-10.62794781,38.2
1.247339368,3250.856934,1.247339368,-10.62794781,38.3
1.250681043,3237.366699,1.250681043,-10.62794781,38.4
1.254013062,3223.970459,1.254013062,-10.62794781,38.5
1.257350087,3210.712646,1.257350087,-10.62794781,38.6
1.26068449,3197.480225,1.26068449,-10.62794781,38.7
1.264005899,3184.6875,1.264005899,-10.62794781,38.8
1.267343998,3172.237549,1.267343998,-10.62794781,38.9
1.270679712,3159.767822,1.270679712,-10.62794781,39
1.274006844,3147.234619,1.274006844,-10.62794781,39.1
1.277329445,3134.733887,1.277329445,-10.62794781,39.2
1.280640364,3122.394531,1.280640364,-10.62794781,39.3
1.283973455,3110.044922,1.283973455,-10.62794781,39.4
1.287318349,3098.164307,1.287318349,-10.62794781,39.5
1.290652752,3086.758789,1.290652752,-10.62794781,39.6
1.293987036,3075.434814,1.293987036,-10.62794781,39.7
1.297328234,3064.174805,1.297328234,-10.62794781,39.8
1.300655484,3053.34082,1.300655484,-10.62794781,39.9
1.303986192,3042.625732,1.303986192,-10.62794781,40
1.307332873,3032.243408,1.307332873,-10.62794781,40.1
1.310684919,3022.381836,1.310684919,-10.62794781,40.2
1.314025044,3012.724365,1.314025044,-10.62794781,40.3
1.317354202,3002.956299,1.317354202,-10.62794781,40.4
1.320668697,2993.121582,1.320668697,-10.62794781,40.5
1.324001908,2983.358154,1.324001908,-10.62794781,40.6
