S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.566829622,2014.222778,0.566829622,0,17.9
0.570148408,2025.496216,0.570148408,0,18
0.573400438,2035.332153,0.573400438,0,18.1
0.576740205,2046.05481,0.576740205,0,18.2
0.580186784,2056.914307,0.580186784,0,18.3
0.583494127,2067.371338,0.583494127,0,18.4
0.586833894,2077.468994,0.586833894,0,18.5
0.590238512,2088.281494,0.590238512,0,18.6
0.593522966,2099.015869,0.593522966,0,18.7
0.596980989,2109.152588,0.596980989,0,18.8
0.600299776,2118.898682,0.600299776,0,18.9
0.603551805,2127.87915,0.603551805,0,19
0.606988847,2138.117432,0.606988847,0,19.1
0.610349596,2147.781494,0.610349596,0,19.2
0.613668382,2157.230713,0.613668382,0,19.3
0.616952837,2166.976807,0.616952837,0,19.4
0.620292604,2176.929932,0.620292604,0,19.5
0.623641908,2186.687744,0.623641908,0,19.6
0.627067506,2196.140869,0.627067506,0,19.7
0.630300462,2205.070557,0.630300462,0,19.8
0.633607805,2214.133057,0.633607805,0,19.9
0.637021959,2223.554932,0.637021959,0,20
0.640232027,2232.554932,0.640232027,0,20.1
0.643529832,2241.769775,0.643529832,0,20.2
0.64680475,2250.047119,0.64680475,0,20.3
0.650165498,2258.593994,0.650165498,0,20.4
0.653493822,2267.3479,0.653493822,0,20.5
0.656896532,2276.836182,0.656896532,0,20.6
0.660118043,2284.961182,0.660118043,0,20.7
0.663478792,2293.695557,0.663478792,0,20.8
0.666830003,2302.547119,0.666830003,0,20.9
0.670211732,2311.742432,0.670211732,0,21
0.673572481,2320.328369,0.673572481,0,21.1
0.676879823,2328.336182,0.676879823,0,21.2
0.680208147,2336.758057,0.680208147,0,21.3
0.683633745,2345.019775,0.683633745,0,21.4
0.686941087,2353.195557,0.686941087,0,21.5
0.690216005,2360.672119,0.690216005,0,21.6
0.693588555,2368.834961,0.693588555,0,21.7
0.696937859,2376.952148,0.696937859,0,21.8
0.700342476,2385.104492,0.700342476,0,21.9
0.703703225,2392.897461,0.703703225,0,22
0.706934273,2400.709961,0.706934273,0,22.1
0.710350335,2409.807617,0.710350335,0,22.2
0.71372062,2418.217773,0.71372062,0,22.3
0.717027962,2426.237305,0.717027962,0,22.4
0.720228493,2433.854492,0.720228493,0,22.5
0.723642647,2442.12793,0.723642647,0,22.6
0.726938546,2449.901367,0.726938546,0,22.7
0.730257332,2458.030273,0.730257332,0,22.8
0.733520806,2465.237305,0.733520806,0,22.9
0.736774743,2473.104492,0.736774743,0,23
0.740200341,2481.866211,0.740200341,0,23.1
0.743463814,2489.561523,0.743463814,0,23.2
0.746847451,2497.557617,0.746847451,0,23.3
