nbm2;nbm2;nbm2;nbm2;nbm2
Deformation;Standard force;Standard travel;Crosshead travel;Test time
mm;N;mm;mm;s
0.259146929;5.221456528;0.259146929;0.259146929;16.4
0.260815829;5.254781246;0.260815829;0.260815829;16.5
0.262472212;5.279722691;0.262472212;0.262472212;16.6
0.264151096;5.320815563;0.264151096;0.264151096;16.7
0.265810311;5.351789474;0.265810311;0.265810311;16.8
0.267481804;5.359036446;0.267481804;0.267481804;16.9
0.26915282;5.40616703;0.26915282;0.26915282;17
0.270829558;5.438810825;0.270829558;0.270829558;17.1
0.272503197;5.467848778;0.272503197;0.272503197;17.2
0.274167776;5.491972446;0.274167776;0.274167776;17.3
0.275826573;5.547986507;0.275826573;0.275826573;17.4
0.277492315;5.557777405;0.277492315;0.277492315;17.5
0.27916193;5.594664097;0.27916193;0.27916193;17.6
0.280824363;5.63825798;0.280824363;0.280824363;17.7
0.282497346;5.666292191;0.282497346;0.282497346;17.8
0.284170032;5.693104744;0.284170032;0.284170032;17.9
0.285832375;5.71501255;0.285832375;0.285832375;18
0.28749916;5.750002861;0.28749916;0.28749916;18.1
0.289165288;5.767326832;0.289165288;0.289165288;18.2
0.290835798;5.816772938;0.290835798;0.290835798;18.3
0.292501539;5.849981785;0.292501539;0.292501539;18.4
0.294167101;5.870371342;0.294167101;0.294167101;18.5
0.295824617;5.900581837;0.295824617;0.295824617;18.6
0.297501355;5.942358971;0.297501355;0.297501355;18.7
0.299165398;5.978288651;0.299165398;0.299165398;18.8
0.300833911;6.009670258;0.300833911;0.300833911;18.9
0.302487701;6.032841682;0.302487701;0.302487701;19
0.304154277;6.056336403;0.304154277;0.304154277;19.1
0.305819422;6.107291698;0.305819422;0.305819422;19.2
0.307482541;6.141123295;0.307482541;0.307482541;19.3
0.30915305;6.173635483;0.30915305;0.30915305;19.4
0.31081599;6.197500229;0.31081599;0.31081599;19.5
0.312488228;6.243650436;0.312488228;0.312488228;19.6
0.314152241;6.263955116;0.314152241;0.314152241;19.7
0.31582287;6.293499947;0.31582287;0.31582287;19.8
0.317480564;6.339919567;0.317480564;0.317480564;19.9
0.319143265;6.382221699;0.319143265;0.319143265;20
0.320800543;6.397120953;0.320800543;0.320800543;20.1
0.322477967;6.433579445;0.322477967;0.322477967;20.2
0.324144661;6.455277443;0.324144661;0.324144661;20.3
0.325813532;6.495690823;0.325813532;0.325813532;20.4
0.327483445;6.514088154;0.327483445;0.327483445;20.5
0.329145402;6.552440166;0.329145402;0.329145402;20.6
0.330822676;6.587416649;0.330822676;0.330822676;20.7
0.332490683;6.610041142;0.332490683;0.332490683;20.8
0.334156424;6.646321297;0.334156424;0.334156424;20.9
0.33582595;6.685458183;0.33582595;0.33582595;21
0.337483108;6.717879772;0.337483108;0.337483108;21.1
0.339148462;6.737693787;0.339148462;0.339148462;21.2
0.340822369;6.773736954;0.340822369;0.340822369;21.3
0.342490345;6.809268951;0.342490345;0.342490345;21.4
0.344165891;6.840613842;0.344165891;0.344165891;21.5
0.345823914;6.874033928;0.345823914;0.345823914;21.6
0.347499549;6.907358646;0.347499549;0.347499549;21.7
0.349175125;6.941441536;0.349175125;0.349175125;21.8
0.350836754;6.9802742;0.350836754;0.350836754;21.9
0.352499872;7.018198013;0.352499872;0.352499872;22
0.354160577;7.052080631;0.354160577;0.354160577;22.1
0.355838329;7.063297749;0.355838329;0.355838329;22.2
0.35751161;7.1068964;0.35751161;0.35751161;22.3
0.35917145;7.114741802;0.35917145;0.35917145;22.4
0.360830784;7.160966873;0.360830784;0.360830784;22.5
0.362500221;7.210115433;0.362500221;0.362500221;22.6
0.364162385;7.244075775;0.364162385;0.364162385;22.7
0.365826368;7.263611794;0.365826368;0.365826368;22.8
0.367492229;7.295043468;0.367492229;0.367492229;22.9
0.369157135;7.318788052;0.369157135;0.369157135;23
0.370833486;7.368109226;0.370833486;0.370833486;23.1
0.372498065;7.394076824;0.372498065;0.372498065;23.2
0.374162346;7.427326679;0.374162346;0.374162346;23.3
0.375829101;7.458795547;0.375829101;0.375829101;23.4
0.377478123;7.492404461;0.377478123;0.377478123;23.5
0.37915197;7.526167393;0.37915197;0.37915197;23.6
0.38081497;7.56039238;0.38081497;0.38081497;23.7
0.382480413;7.591109276;0.382480413;0.382480413;23.8
0.384150952;7.621758938;0.384150952;0.384150952;23.9
0.385824502;7.657926559;0.385824502;0.385824502;24
0.387495965;7.674438;0.387495965;0.387495965;24.1
0.389154047;7.723304749;0.389154047;0.389154047;24.2
0.390814483;7.751738071;0.390814483;0.390814483;24.3
