bm3;bm3;bm3;bm3;bm3
Deformation;Standard force;Standard travel;Crosshead travel;Test time
mm;N;mm;mm;s
0.709096789;18.83794785;0.709096789;0.709096789;43.4
0.710771799;18.88185883;0.710771799;0.710771799;43.5
0.71243155;18.91931152;0.71243155;0.71243155;43.6
0.714113176;18.98548508;0.714113176;0.714113176;43.7
0.715766251;19.01788712;0.715766251;0.715766251;43.8
0.717432678;19.0635643;0.717432678;0.717432678;43.9
0.719096839;19.10397911;0.719096839;0.719096839;44
0.720770478;19.14626122;0.720770478;0.720770478;44.1
0.72243017;19.18921852;0.72243017;0.72243017;44.2
0.724111259;19.22303581;0.724111259;0.724111259;44.3
0.725766599;19.27057266;0.725766599;0.725766599;44.4
0.727435112;19.30939865;0.727435112;0.727435112;44.5
0.729104459;19.35763168;0.729104459;0.729104459;44.6
0.730760217;19.40572357;0.730760217;0.730760217;44.7
0.732424617;19.44671059;0.732424617;0.732424617;44.8
0.734092176;19.47489738;0.734092176;0.734092176;44.9
0.735759079;19.5112648;0.735759079;0.735759079;45
0.737423658;19.54649925;0.737423658;0.737423658;45.1
0.739082456;19.60769653;0.739082456;0.739082456;45.2
0.740756989;19.64112282;0.740756989;0.740756989;45.3
0.742425561;19.68855286;0.742425561;0.742425561;45.4
0.744093895;19.72031021;0.744093895;0.744093895;45.5
0.745754898;19.77412415;0.745754898;0.745754898;45.6
0.747422576;19.82391548;0.747422576;0.747422576;45.7
0.749090314;19.85473633;0.749090314;0.749090314;45.8
0.750749946;19.90452957;0.750749946;0.750749946;45.9
0.752425551;19.94658089;0.752425551;0.752425551;46
0.754076421;19.9837513;0.754076421;0.754076421;46.1
0.755747437;20.03210831;0.755747437;0.755747437;46.2
0.75741154;20.07303429;0.75741154;0.75741154;46.3
0.759077609;20.11843109;0.759077609;0.759077609;46.4
0.760734677;20.17816162;0.760734677;0.760734677;46.5
0.762402117;20.19881248;0.762402117;0.762402117;46.6
0.764084876;20.25389862;0.764084876;0.764084876;46.7
0.765750229;20.2931881;0.765750229;0.765750229;46.8
0.767414093;20.33235741;0.767414093;0.767414093;46.9
0.769097984;20.38622475;0.769097984;0.769097984;47
0.770767331;20.409832;0.770767331;0.770767331;47.1
0.772429168;20.4685154;0.772429168;0.772429168;47.2
0.774092555;20.48638916;0.774092555;0.774092555;47.3
0.775766194;20.5362339;0.775766194;0.775766194;47.4
0.777429581;20.58262825;0.777429581;0.777429581;47.5
0.779103756;20.61209106;0.779103756;0.779103756;47.6
0.780769408;20.67406845;0.780769408;0.780769408;47.7
0.782433033;20.71591568;0.782433033;0.782433033;47.8
0.784105062;20.73026466;0.784105062;0.784105062;47.9
0.785771012;20.79154587;0.785771012;0.785771012;48
0.78743571;20.83320808;0.78743571;0.78743571;48.1
0.789092124;20.87536049;0.789092124;0.789092124;48.2
0.790766537;20.91248512;0.790766537;0.790766537;48.3
0.792428553;20.95518112;0.792428553;0.792428553;48.4
0.794098079;20.9816761;0.794098079;0.794098079;48.5
0.795753419;21.04927635;0.795753419;0.795753419;48.6
0.797435641;21.09148407;0.797435641;0.797435641;48.7
