nbm1,nbm1,nbm1,nbm1,nbm1
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0.230719551,4.640903473,0.230719551,0.230719551,14.7
0.232378468,4.667978287,0.232378468,0.232378468,14.8
0.234048933,4.718504429,0.234048933,0.234048933,14.9
0.235718921,4.73443222,0.235718921,0.235718921,15
0.237376213,4.757480145,0.237376213,0.237376213,15.1
0.239056319,4.816321373,0.239056319,0.239056319,15.2
0.240712464,4.827920914,0.240712464,0.240712464,15.3
0.24238655,4.861053467,0.24238655,0.24238655,15.4
0.244047225,4.889512062,0.244047225,0.244047225,15.5
0.245730251,4.906504631,0.245730251,0.245730251,15.6
0.247385681,4.936916828,0.247385681,0.247385681,15.7
0.249061346,4.981962681,0.249061346,0.249061346,15.8
0.250728637,5.01390934,0.250728637,0.250728637,15.9
0.252384126,5.056416988,0.252384126,0.252384126,16
0.254057884,5.095631123,0.254057884,0.254057884,16.1
0.255714864,5.093650818,0.255714864,0.255714864,16.2
0.257387698,5.1402421,0.257387698,0.257387698,16.3
0.259059846,5.166715622,0.259059846,0.259059846,16.4
0.2607252,5.193778038,0.2607252,0.2607252,16.5
0.26239565,5.213748932,0.26239565,0.26239565,16.6
0.264068186,5.256345749,0.264068186,0.264068186,16.7
0.265723467,5.284897327,0.265723467,0.265723467,16.8
0.267399132,5.323956013,0.267399132,0.267399132,16.9
0.269065171,5.350931168,0.269065171,0.269065171,17
0.270736575,5.382392406,0.270736575,0.270736575,17.1
0.272400945,5.407565117,0.272400945,0.272400945,17.2
0.274065703,5.431120396,0.274065703,0.274065703,17.3
0.275732815,5.4666152,0.275732815,0.275732815,17.4
0.277405441,5.508769035,0.277405441,0.277405441,17.5
0.279064327,5.531182289,0.279064327,0.279064327,17.6
0.280731797,5.56705761,0.280731797,0.280731797,17.7
0.28239572,5.595886707,0.28239572,0.28239572,17.8
0.284052074,5.618437767,0.284052074,0.284052074,17.9
0.285739928,5.653160095,0.285739928,0.285739928,18
0.287385464,5.695037365,0.287385464,0.287385464,18.1
0.289057314,5.713602066,0.289057314,0.289057314,18.2
0.290720999,5.753594398,0.290720999,0.290720999,18.3
0.292380482,5.773524761,0.292380482,0.292380482,18.4
0.294046104,5.811857224,0.294046104,0.294046104,18.5
0.2957187,5.836453438,0.2957187,0.2957187,18.6
0.297388136,5.870415211,0.297388136,0.297388136,18.7
0.29905352,5.910354614,0.29905352,0.29905352,18.8
0.300710052,5.936859131,0.300710052,0.300710052,18.9
0.302383572,5.962590694,0.302383572,0.302383572,19
0.304050177,5.987224102,0.304050177,0.304050177,19.1
0.305717885,6.023550034,0.305717885,0.305717885,19.2
0.307389438,6.054201603,0.307389438,0.307389438,19.3
0.309050888,6.077741623,0.309050888,0.309050888,19.4
0.310723126,6.117514133,0.310723126,0.310723126,19.5
0.312393755,6.169839859,0.312393755,0.312393755,19.6
0.314052612,6.18500948,0.314052612,0.314052612,19.7
0.315720052,6.227596283,0.315720052,0.315720052,19.8
0.317388922,6.232568264,0.317388922,0.317388922,19.9
0.319057465,6.260757923,0.319057465,0.319057465,20
0.320717871,6.284511089,0.320717871,0.320717871,20.1
0.322386146,6.347082615,0.322386146,0.322386146,20.2
0.324053138,6.368319511,0.324053138,0.324053138,20.3
0.32573089,6.386482239,0.32573089,0.32573089,20.4
0.327390879,6.425542355,0.327390879,0.327390879,20.5
0.329059929,6.460444927,0.329059929,0.329059929,20.6
0.330724418,6.494393349,0.330724418,0.330724418,20.7
0.33238858,6.510681629,0.33238858,0.33238858,20.8
0.33407253,6.553688526,0.33407253,0.33407253,20.9
0.335730582,6.584383488,0.335730582,0.335730582,21
0.33740133,6.613982677,0.33740133,0.33740133,21.1
0.339054674,6.658393383,0.339054674,0.339054674,21.2
0.340725511,6.691313267,0.340725511,0.340725511,21.3
0.342406392,6.726563931,0.342406392,0.342406392,21.4
0.344067484,6.730437279,0.344067484,0.344067484,21.5
0.345730901,6.769515038,0.345730901,0.345730901,21.6
0.347400397,6.793137074,0.347400397,0.347400397,21.7
0.349071503,6.821063042,0.349071503,0.349071503,21.8
0.350737602,6.861065865,0.350737602,0.350737602,21.9
0.352398425,6.89396143,0.352398425,0.352398425,22
0.354056358,6.926522255,0.354056358,0.354056358,22.1
0.355726898,6.971167564,0.355726898,0.355726898,22.2
0.357388496,6.988450527,0.357388496,0.357388496,22.3
0.359048337,7.025299072,0.359048337,0.359048337,22.4
0.360727131,7.044596195,0.360727131,0.360727131,22.5
0.362394333,7.082906246,0.362394333,0.362394333,22.6
0.364057183,7.113152504,0.364057183,0.364057183,22.7
0.365724653,7.154816151,0.365724653,0.365724653,22.8
0.367397398,7.171969891,0.367397398,0.367397398,22.9
0.36904332,7.198131084,0.36904332,0.36904332,23
0.370721489,7.235555649,0.370721489,0.370721489,23.1
0.37240836,7.254506111,0.37240836,0.37240836,23.2
0.374061286,7.282660007,0.374061286,0.374061286,23.3
0.375724912,7.316213608,0.375724912,0.375724912,23.4
0.377396107,7.34224987,0.377396107,0.377396107,23.5
0.379059792,7.405776024,0.379059792,0.379059792,23.6
0.380736887,7.42450285,0.380736887,0.380736887,23.7
0.382397741,7.460538387,0.382397741,0.382397741,23.8
0.384060234,7.496371269,0.384060234,0.384060234,23.9
0.385719836,7.535168171,0.385719836,0.385719836,24
0.387394637,7.570140839,0.387394637,0.387394637,24.1
0.389051974,7.586797237,0.389051974,0.389051974,24.2
0.39071548,7.631742477,0.39071548,0.39071548,24.3
0.392384261,7.663203716,0.392384261,0.392384261,24.4
0.394054294,7.700438499,0.394054294,0.394054294,24.5
0.395723045,7.732624054,0.395723045,0.395723045,24.6
0.397390127,7.761655331,0.397390127,0.397390127,24.7
0.399050444,7.802579403,0.399050444,0.399050444,24.8
0.400707811,7.820361137,0.400707811,0.400707811,24.9
0.402383178,7.867676735,0.402383178,0.402383178,25
0.404049456,7.903944492,0.404049456,0.404049456,25.1
0.40573135,7.926998615,0.40573135,0.40573135,25.2
0.407398254,7.974983692,0.407398254,0.407398254,25.3
0.409063965,8.002814293,0.409063965,0.409063965,25.4
0.410734028,8.036120415,0.410734028,0.410734028,25.5
0.412396491,8.059487343,0.412396491,0.412396491,25.6
0.414058357,8.093743324,0.414058357,0.414058357,25.7
0.415721744,8.122975349,0.415721744,0.415721744,25.8
0.417390227,8.173552513,0.417390227,0.417390227,25.9
0.419057935,8.197827339,0.419057935,0.419057935,26
0.420731455,8.212315559,0.420731455,0.420731455,26.1
0.422389597,8.243573189,0.422389597,0.422389597,26.2
0.424059868,8.290746689,0.424059868,0.424059868,26.3
0.425737232,8.311880112,0.425737232,0.425737232,26.4
0.427398086,8.356609344,0.427398086,0.427398086,26.5
0.429060221,8.372117043,0.429060221,0.429060221,26.6
0.430727154,8.410408974,0.430727154,0.430727154,26.7
0.4323982,8.443327904,0.4323982,0.4323982,26.8
0.43405953,8.490820885,0.43405953,0.43405953,26.9
0.435735077,8.5058918,0.435735077,0.435735077,27
0.437396884,8.550105095,0.437396884,0.437396884,27.1
0.439065039,8.591644287,0.439065039,0.439065039,27.2
0.440728128,8.627138138,0.440728128,0.440728128,27.3
0.442393005,8.637590408,0.442393005,0.442393005,27.4
0.444066852,8.685194969,0.444066852,0.444066852,27.5
0.445721835,8.711937904,0.445721835,0.445721835,27.6
0.447395295,8.73411274,0.447395295,0.447395295,27.7
0.44905588,8.762151718,0.44905588,0.44905588,27.8
0.450721622,8.805197716,0.450721622,0.450721622,27.9
0.452384412,8.830168724,0.452384412,0.452384412,28
0.454057246,8.877144814,0.454057246,0.454057246,28.1
0.455722719,8.890501022,0.455722719,0.455722719,28.2
0.457380921,8.927345276,0.457380921,0.457380921,28.3
0.459050089,8.9494133,0.459050089,0.459050089,28.4
0.460724533,8.986743927,0.460724533,0.460724533,28.5
0.462387651,9.036685944,0.462387651,0.462387651,28.6
0.464061886,9.044985771,0.464061886,0.464061886,28.7
0.465712994,9.07565403,0.465712994,0.465712994,28.8
0.467386723,9.115181923,0.467386723,0.467386723,28.9
0.469055027,9.148075104,0.469055027,0.469055027,29
0.470720738,9.176494598,0.470720738,0.470720738,29.1
0.472390264,9.219085693,0.472390264,0.472390264,29.2
0.474052042,9.234305382,0.474052042,0.474052042,29.3
0.475724846,9.263344765,0.475724846,0.475724846,29.4
0.4773857,9.286248207,0.4773857,0.4773857,29.5
0.479048789,9.332182884,0.479048789,0.479048789,29.6
0.480719775,9.356883049,0.480719775,0.480719775,29.7
0.48239553,9.38194561,0.48239553,0.48239553,29.8
0.484044999,9.426342964,0.484044999,0.484044999,29.9
0.485718817,9.457668304,0.485718817,0.485718817,30
0.487387925,9.50037384,0.487387925,0.487387925,30.1
0.489068776,9.523383141,0.489068776,0.489068776,30.2
0.490735918,9.562728882,0.490735918,0.490735918,30.3
0.49241823,9.571177483,0.49241823,0.49241823,30.4
0.494062006,9.603276253,0.494062006,0.494062006,30.5
0.49572891,9.636166573,0.49572891,0.49572891,30.6
0.497404695,9.680068016,0.497404695,0.497404695,30.7
0.4990713,9.711745262,0.4990713,0.4990713,30.8
0.500727952,9.740128517,0.500727952,0.500727952,30.9
0.50240016,9.770691872,0.50240016,0.50240016,31
0.504061699,9.805407524,0.504061699,0.504061699,31.1
0.505737603,9.857264519,0.505737603,0.505737603,31.2
0.50740689,9.895949364,0.50740689,0.50740689,31.3
0.509073794,9.90746212,0.509073794,0.509073794,31.4
0.510731757,9.939748764,0.510731757,0.510731757,31.5
0.512397945,9.970656395,0.512397945,0.512397945,31.6
0.514062345,9.986006737,0.514062345,0.514062345,31.7
0.515725791,10.03341103,0.515725791,0.515725791,31.8
0.517394066,10.05520916,0.517394066,0.517394066,31.9
0.519052446,10.08136654,0.519052446,0.519052446,32
0.520718396,10.11088943,0.520718396,0.520718396,32.1
0.522390962,10.14599705,0.522390962,0.522390962,32.2
0.524056733,10.18884945,0.524056733,0.524056733,32.3
0.525729299,10.2178669,0.525729299,0.525729299,32.4
0.527389228,10.23971844,0.527389228,0.527389228,32.5
0.529053688,10.27049732,0.529053688,0.529053688,32.6
0.530725777,10.30680656,0.530725777,0.530725777,32.7
0.53238672,10.34531689,0.53238672,0.53238672,32.8
0.534052908,10.37072277,0.534052908,0.534052908,32.9
0.535712898,10.41953659,0.535712898,0.535712898,33
0.537381649,10.44229889,0.537381649,0.537381649,33.1
0.539037824,10.47811699,0.539037824,0.539037824,33.2
